School Year,ULCS Code,School Name,Number of Graduates,First-Fall Matriculation Rate
2021-2022,1010,John Bartram High School,120,25.83
2021-2022,1020,West Philadelphia High School,81,35.8
2021-2022,1030,High School of the Future,133,35.34
2021-2022,1050,Paul Robeson High School for Human Services,79,39.24
2021-2022,1100,William L. Sayre High School,85,23.53
2021-2022,1190,Motivation High School,79,44.3
2021-2022,2000,South Philadelphia High School,131,12.21
2021-2022,2010,Benjamin Franklin High School,63,17.46
2021-2022,2020,High School for Creative and Performing Arts,182,73.63
2021-2022,2140,Julia R. Masterman School,114,89.47
2021-2022,2160,Furness High School,147,32.65
2021-2022,2290,Franklin Learning Center,194,59.79
2021-2022,2410,Girard Academic Music Program,58,70.69
2021-2022,2620,Academy at Palumbo,323,76.78
2021-2022,2650,Science Leadership Academy,122,77.87
2021-2022,2670,Constitution High School,78,56.41
2021-2022,2680,The Science Leadership Academy at Beeber,104,75.0
2021-2022,4020,Overbrook High School,73,19.18
2021-2022,4030,High School of Engineering and Science,198,78.79
2021-2022,4060,Murrell Dobbins Career and Technical High School,158,25.95
2021-2022,4140,Strawberry Mansion High School,2,0.0
2021-2022,5020,Thomas A. Edison High School,169,17.16
2021-2022,5050,Philadelphia Military Academy,61,31.15
2021-2022,5060,Jules E. Mastbaum Area Vocational Technical High School,79,20.25
2021-2022,5070,Parkway Northwest High School,50,48.0
2021-2022,5080,Parkway Center City Middle College High School,110,70.91
2021-2022,5090,Parkway West High School,55,38.18
2021-2022,5150,William W. Bodine High School,108,64.81
2021-2022,5160,Penn Treaty High School,42,35.71
2021-2022,5180,Vaux High School: A Big Picture,94,36.17
2021-2022,5520,Kensington High School for Creative and Performing Arts,101,21.78
2021-2022,5550,Kensington Health Sciences Academy,106,33.96
2021-2022,5610,Building 21,71,23.94
2021-2022,5620,The U School,31,35.48
2021-2022,5660,The LINC,28,17.86
2021-2022,5700,Kensington High School,76,14.47
2021-2022,6010,Central High School,593,88.53
2021-2022,6030,Roxborough High School,188,26.06
2021-2022,6040,Walter B. Saul High School,80,50.0
2021-2022,6050,Philadelphia High School for Girls,125,76.0
2021-2022,6060,Martin Luther King High School,65,15.38
2021-2022,6090,A. Philip Randolph Career and Technical High School,45,15.56
2021-2022,6400,Widener Memorial School,12,8.33
2021-2022,6460,Hill-Freedman World Academy,102,44.12
2021-2022,6540,Lankenau High School,85,56.47
2021-2022,7010,Frankford High School,151,21.85
2021-2022,7120,Samuel Fels High School,166,27.71
2021-2022,8010,Abraham Lincoln High School,336,29.46
2021-2022,8020,Northeast High School,659,55.39
2021-2022,8030,George Washington High School,265,47.55
2021-2022,8040,Arts Academy at Benjamin Rush,140,68.57
2021-2022,8090,Swenson Arts and Technology High School,131,38.17
2021-2022,8560,The Workshop School,42,35.71
2021-2022,8780,Philadelphia Virtual Academy,122,17.21
